1296,1407
798,454
478,1853
1592,1918
775,418
1885,1250
1408,193
882,833
2266,302
859,1752
1076,1136
1469,17
623,1743
2113,1185
1319,1588
1210,122
386,1813
565,318
1012,93
149,370
594,2299
147,1078
1774,374
2032,1949
1443,1864
1980,1278
1520,727
1795,784
1228,1779
1741,943
179,1914
1524,1845
1388,1249
1565,1367
1425,2280
616,1923
641,1388
480,2288
802,1882
1116,903
1088,2212
159,2270
87,728
930,1391
471,1777
360,1193
658,713
1547,369
1668,1063
1310,812
1160,1707
2277,1643
1604,550
911,111
1947,86
1462,1427
979,1129
1811,645
519,1292
1364,1186
1285,496
739,1781
883,1919
1884,2182
1549,1025
1603,2161
402,2028
841,1400
2120,1580
2220,1457
2030,66
919,1669
254,2131
1874,842
1222,1762
1614,1263
2333,931
593,1127
198,802
657,48
1529,549
654,154
429,2013
250,64
750,426
1626,429
528,2213
2042,1438
2047,1347
1065,1168
856,159
1904,1196
222,1722
826,358
205,1076
2148,544
1514,220
2290,389
2330,1223
1761,2286
1045,741
2079,1000
829,155
1039,1839
1943,1831
524,1635
830,421
1513,259
1433,1705
564,968
992,606
762,2075
2037,2110
1513,1551
1107,387
347,1908
2031,1941
1750,2119
1094,1028
856,791
159,1820
1458,220
444,744
1808,1278
2270,1685
1490,215
200,104
621,834
1511,1835
397,1214
767,1294
1104,99
762,674
1039,542
1115,1
966,617
2283,137
1468,1280
713,2095
474,1711
409,959
156,1546
730,82
1601,1892
562,1078
786,2041
207,1215
1052,275
2304,2325
768,1647
173,1273
1657,222
893,2318
1490,1774
919,69
954,1233
598,1127
1442,79
889,460
1838,75
613,630
407,2242
1147,1722
1917,2335
1910,1948
644,1073
1116,195
366,1766
356,915
2213,35
1821,359
1288,122
958,554
639,2227
1336,2152
1520,1339
1391,219
105,1949
560,457
318,1481
1569,1804
1511,628
373,1779
1414,89
1755,142
1703,906
2256,1872
1725,860
1193,2104
1954,1365
1426,1862
564,1042
461,2311
2016,247
1058,1862
2332,1488
1837,2215
1996,113
552,422
2079,2066
1615,1917
1720,191
2251,1666
1612,929
2041,38
997,2131
796,890
323,1320
2142,1078
860,318
177,452
749,386
985,530
1021,1631
1132,1105
1337,735
663,759
2247,164
1823,126
791,554
1044,321
2171,1601
243,1597
1750,1352
1227,1739
37,1836
2122,1043
1813,219
1690,1669
1827,269
1236,441
503,1797
1559,84
1221,428
1164,428
562,524
1324,265
1074,823
1640,136
2260,6
509,367
1003,1868
870,1368
1642,1337
646,480
875,2172
526,1406
1795,1502
2035,374
1995,1189
2038,2262
315,1560
1199,644
1645,1947
2322,1598
927,193
2237,2336
804,1963
711,994
962,646
1438,1180
2217,1019
394,546
2021,1750
808,2338
774,174
2236,636
582,1782
665,2253
655,1332
905,1380
765,91
157,238
1620,2010
953,2208
1858,2227
1454,818
173,9
1121,568
689,625
1484,684
583,1467
391,429
1288,860
1145,112
2132,104
246,945
1336,1502
885,2251
173,2178
916,1555
541,1742
1575,2081
1464,1631
1580,2051
1919,1394
1432,431
1324,372
439,433
1096,2220
714,560
1990,2317
689,1110
257,215
2065,1461
571,612
245,774
695,1736
1628,233
1369,903
205,961
976,1278
182,846
591,2101
576,1698
1846,64
1532,484
1248,2231
1391,1811
1976,118
1910,723
1550,191
2032,1056
1704,436
2086,2240
1507,961
1996,49
1859,1598
868,972
852,59
24,2246
1494,1262
959,1113
1652,953
451,1807
458,304
2276,1846
1059,1436
1842,38
548,1665
1126,560
1177,1135
2227,1691
1211,1250
614,869
2215,269
1090,1635
1374,1366
1625,464
1901,239
1139,2333
911,547
123,2233
670,141
588,427
1101,1543
555,1784
199,185
1065,1022
1627,1467
1512,2007
543,1454
345,1296
921,1585
1528,953
839,94
1672,446
764,886
1475,259
1351,536
874,449
772,1361
862,2210
1097,2280
1564,371
1206,44
2230,218
882,2017
1049,1354
2016,717
1321,1527
2022,2219
1428,591
1588,1206
2284,1203
54,1728
910,259
1604,28
605,2306
2148,1792
850,33
498,1331
912,1556
672,399
1335,624
551,2259
140,2314
812,2216
1142,1206
1487,636
955,1183
412,1031
729,1854
1946,206
2056,2062
1468,2080
1977,104
1913,1902
1683,1581
1182,1237
2285,1853
1923,1937
921,2254
1852,543
228,995
2028,1252
1751,1661
1472,1006
543,2038
1010,1957
1810,1934
385,819
2164,1835
411,1151
2211,1551
631,1851
284,98
1357,1789
2239,2061
291,2129
507,2026
1885,1375
829,2000
180,2248
199,104
2149,479
570,94
1895,996
1732,1536
1677,1508
398,1363
1944,1610
2056,1368
157,952
839,1640
280,2088
468,1307
1917,999
1221,1363
723,1116
1153,1048
2085,76
2144,1054
2024,2294
863,1915
2010,75
1451,8
1201,1928
1396,924
432,497
727,1413
1613,506
1141,1970
1454,426
1955,2028
296,2224
1157,1621
1216,79
1678,2108
1738,2262
1425,1207
982,1451
1642,750
1792,1950
707,50
1634,1537
2299,1914
932,2064
1337,1989
1776,87
883,1797
1159,1617
1217,1314
123,1789
572,741
66,1362
600,973
984,1769
1741,2146
1804,1624
571,2060
1529,1123
1679,2326
1796,797
487,1899
2115,1977
1330,616
220,1196
1676,1209
53,437
1442,1711
307,476
888,1647
1341,530
632,2197
1883,1294
232,92
36,172
563,1944
1125,1708
2273,1574
591,1292
1291,876
557,943
1136,1797
2016,1193
385,962
2114,284
1269,1758
839,1394
1910,1989
1212,1123
346,280
1295,2011
1484,759
1516,625
1105,1711
1524,335
1169,370
1441,712
2332,1106
1651,1787
1162,1062
827,579
878,1144
1798,481
1750,542
1809,85
710,1239
1863,557
561,975
1466,536
1865,71
1658,1581
2177,2042
1519,1499
1811,741
1469,832
1184,2068
18,2101
293,108
1760,1611
1249,729
274,154
487,1652
528,1811
1209,20
525,1924
866,995
605,1953
355,183
231,2259
1890,697
1694,1641
389,1222
1701,510
1834,1527
1257,1206
207,1341
1879,264
183,339
1750,1443
1988,2303
1151,723
1083,395
1198,2131
776,1331
1524,1015
492,1489
1528,112
2021,89
2226,2209
636,1121
2201,1678
1377,94
656,553
1999,384
1684,1368
616,2338
184,1962
1459,895
877,1577
421,88
587,1591
1794,1887
1223,1840
1871,1204
2214,83
1331,104
1209,607
1685,506
900,1016
871,2031
2279,296
2274,1311
1372,1740
1670,1107
1453,2307
305,541
1678,19
779,942
947,392
1065,1159
1706,1581
1732,292
1667,1819
1037,44
1724,629
598,2087
1677,934
2228,2158
330,2050
378,1077
1336,1150
1039,579
1000,330
870,2289
699,2340
768,1527
723,2308
2171,1219
1232,1102
738,766
2099,2333
380,998
1423,453
1378,869
1323,138
1420,1000
565,2116
2097,1745
573,112
1483,1353
1910,941
2169,2234
940,1296
631,67
2049,1213
1246,607
1160,1468
2126,567
2165,2209
2182,1862
2031,686
1822,36
1473,208
1399,182
727,1576
1651,572
702,1301
1198,229
2221,74
2011,1183
855,1330
1333,2166
656,347
1704,1302
1027,1425
978,743
255,1091
1556,859
1958,411
2238,1899
594,2033
1367,1078
1980,2221
781,1568
1930,146
2120,1627
272,2013
640,1664
326,77
1443,1784
1374,1518
471,136
169,50
865,712
1116,1680
2300,1144
924,633
865,2181
2114,342
840,2265
253,695
693,739
1165,1647
1139,331
896,1236
89,1302
871,438
1812,569
2050,963
2207,523
1418,1806
591,1445
582,1918
2223,1937
440,407
1130,1271
638,1884
2051,1465
1234,2226
1830,544
2275,466
2200,953
1227,421
957,76
325,635
47,1253
1940,318
2032,648
294,1116
2272,1129
1526,2321
1803,2270
1641,1794
801,1959
1592,1561
805,425
2218,2107
2188,360
1569,2319
1228,1336
1591,934
1132,307
1510,699
842,1772
557,780
1749,2101
805,1290
761,500
498,1613
2054,1840
1238,239
937,1964
782,1733
197,44
829,1400
2301,2145
1970,1952
1337,26
1842,1940
1200,22
410,258
1191,1853
1347,1331
2089,129
733,2031
1256,131
890,82
612,1959
1594,1951
1173,1801
206,681
1277,1918
1957,124
814,2123
880,2132
1607,114
822,206
560,88
893,1836
742,2288
2071,1095
1695,1921
1831,1977
876,1617
457,2255
1471,72
614,1647
2128,1478
1297,1113
1119,1766
721,460
1504,1560
1602,1735
847,372
823,235
1869,1830
1391,2044
1450,551
1065,2340
1476,972
111,1540
782,1991
2195,676
363,558
588,379
1168,2212
2186,677
2261,2041
2052,908
1699,743
1951,372
2240,910
1152,257
653,111
2251,1179
120,1051
1397,1629
2287,108
2124,44
1821,2229
1366,1638
1558,1296
1732,962
1979,561
1291,710
1175,2116
2234,1742
1145,990
464,1112
1997,227
459,1709
1184,423
1900,1914
521,2069
293,2271
958,497
1710,2257
471,707
1035,1130
2029,1563
2241,1477
758,497
2064,2165
497,378
1268,2077
1986,449
1788,394
1133,1435
1787,81
1441,206
576,2206
1427,1618
1997,1685
1462,1125
489,1524
1781,2206
2221,1098
462,368
1998,56
1120,82
452,465
221,1345
1933,1969
1791,1708
891,1572
476,1241
696,1827
1313,2273
1195,1266
1695,1207
388,657
2140,137
1911,1851
2158,1348
175,1199
